symbol,base,quote,usd_vol,last,vol_metric,liq_score,vol_score,score
ETH/USDT,ETH,USDT,1418516503.8397863,4651.41,0.0013804534652101766,1.0,0.08678443477928693,0.6803745521727504
BTC/USDT,BTC,USDT,1329101160.670665,112178.8,0.0007436115698464486,0.9903868955998909,0.046748341331909284,0.6601134016060973
SOL/USDT,SOL,USDT,591430403.97924,198.27,0.0014213556488976795,0.8708350552144095,0.08935581656216947,0.5973173216861255
XTER/USDT,XTER,USDT,12665195.183707,0.18171,0.01590669419834319,0.30332643417766714,1.0,0.5471621822154836
MNT/USDT,MNT,USDT,227205096.209789,1.1824,0.001427417406326562,0.7295825447622041,0.08973689872501849,0.5056365686491892
USDC/USDT,USDC,USDT,292037633.384279,1.0,9.363397623562194e-05,0.7666462978546297,0.005886451016665339,0.5003803514613422
XRP/USDT,XRP,USDT,181119971.352805,2.9646,0.0008843076996672988,0.6961119398382303,0.055593430579649064,0.47193046159772684
INJ/USDT,INJ,USDT,88315896.50595,13.543,0.001480491698697783,0.5900660534961575,0.09307349976288523,0.4161186596895122
ADA/USDT,ADA,USDT,72640509.885819,0.8721,0.0014829972826102668,0.5612162251311984,0.09323101733889702,0.3974214024038929
USDE/USDT,USDE,USDT,100466501.539352,1.0007,4.544514032533948e-05,0.6090983726632192,0.002856982083057393,0.3969138859601626
CRV/USDT,CRV,USDT,65806140.020343,0.8462,0.001877728400125601,0.5466272865395811,0.11804642603371235,0.3966239853625271
DOGE/USDT,DOGE,USDT,68524076.870087,0.21998,0.001294888516927936,0.5526028579925938,0.08140525622619996,0.38768369737435593
LINK/USDT,LINK,USDT,57548447.6039169,24.53,0.0017553700350178077,0.5268298973483625,0.11035416995698852,0.38106339276138157
FLOCK/USDT,FLOCK,USDT,16886579.4886715,0.41265,0.006809584509390964,0.34579877944778853,0.4280955190614173,0.3746026383125586
SUI/USDT,SUI,USDT,57968453.062464,3.4884,0.0013062636423980512,0.5279035550460714,0.08212037184533974,0.3718794409258154
ENA/USDT,ENA,USDT,39610236.081378,0.6479,0.0017732968146598966,0.47167791076138094,0.11148116588829624,0.3456090500558013
PUMP/USDT,PUMP,USDT,36072137.9063809,0.002862,0.0017310115301887076,0.45786305565780566,0.10882283324268635,0.3356989778125139
PEPE/USDT,PEPE,USDT,36727521.837279215,1.023e-05,0.001504968748695715,0.4605215313273271,0.09461228901052673,0.33245329651644695
ZORA/USDT,ZORA,USDT,18379139.362085,0.117426,0.004330182417999063,0.3583040484473389,0.2722239054831447,0.3281759984098709
AVAX/USDT,AVAX,USDT,34041728.298338,24.4,0.001420905638562567,0.4493093223283158,0.08932752593625429,0.32331569359109424
ARB/USDT,ARB,USDT,31212944.752688,0.5493,0.0016085267084692192,0.43650033249048215,0.10112262726700058,0.3191181356622636
NEON/USDT,NEON,USDT,3950243.3135876,0.16551,0.010518689563018251,0.1313058534239023,0.6612743937778005,0.3167948425477667
TUNA/USDT,TUNA,USDT,4008831.782119,0.14349,0.010411979647808503,0.1334796145030555,0.6545659027564001,0.31585981539172614
HYPE/USDT,HYPE,USDT,27913708.4276,46.26,0.001807543068130663,0.42000595271965263,0.11363411187718268,0.31277580842478814
BDXN/USDT,BDXN,USDT,20356784.121489,0.04135,0.0025322358177368534,0.3733932632687308,0.1591930910446877,0.2984232029903157
